age,income,savings,experience,horizon,risk_score,risk_profile
24,2152646,391723,12,27,67,Moderate
30,295796,4821961,8,1,38,Moderate
40,2832297,2681402,12,2,54,Moderate
63,1427705,3697753,9,20,55,Moderate
41,606162,3397987,12,27,62,Moderate
51,638786,1741647,12,2,32,Conservative
28,607779,4149823,6,2,54,Moderate
44,532063,3320187,11,18,64,Moderate
55,2034660,4055353,9,26,78,Aggressive
40,2153768,4351344,9,2,69,Moderate
24,2903657,719853,1,3,48,Moderate
31,1008864,3057270,9,2,55,Moderate
32,1046825,1941608,8,12,55,Moderate
43,1977916,1982896,12,29,63,Moderate
24,2237317,4998847,16,23,94,Aggressive
44,1224226,695808,3,18,53,Moderate
31,1043875,1116524,9,3,57,Moderate
26,2064666,2438602,10,5,62,Moderate
63,919161,4917571,15,21,67,Moderate
18,1916093,619721,10,12,71,Aggressive
22,1373044,1379846,6,9,70,Aggressive
21,422076,1749269,5,5,41,Moderate
32,715548,339775,8,11,48,Moderate
41,1120072,2887041,8,17,63,Moderate
48,2325774,4928914,20,17,88,Aggressive
39,633969,25200,20,23,51,Moderate
38,817115,3058827,18,29,86,Aggressive
65,1260108,3699460,17,24,78,Aggressive
41,2945202,3593208,10,23,90,Aggressive
58,1891176,3383000,13,21,65,Moderate
26,1647629,2421389,19,13,81,Aggressive
57,207035,2168978,6,8,27,Conservative
55,946541,2389402,18,30,70,Aggressive
44,928512,3674185,0,7,39,Moderate
51,1607633,3006101,17,16,69,Moderate
48,312626,4882927,4,18,43,Moderate
25,507340,4460990,2,11,53,Moderate
40,1712233,4443069,17,6,64,Moderate
53,770656,1287846,2,18,52,Moderate
42,2567977,3022262,15,24,89,Aggressive
18,737484,4183638,18,14,76,Aggressive
59,2800842,198079,3,16,42,Moderate
33,583366,4818899,4,4,53,Moderate
49,1668561,1080352,4,28,53,Moderate
23,1513778,535066,17,23,87,Aggressive
53,941330,1810963,0,30,58,Moderate
21,1991123,3412533,3,10,59,Moderate
57,464105,147714,4,12,17,Conservative
43,2914258,73696,3,15,40,Moderate
36,1708898,1979796,11,17,64,Moderate
20,1786105,3971704,8,13,84,Aggressive
22,2606422,3643109,0,25,70,Aggressive
34,2761043,3385559,4,3,60,Moderate
55,2330741,2833206,5,5,45,Moderate
34,2356469,4526369,19,11,80,Aggressive
35,2338618,250396,20,2,59,Moderate
33,2650245,3603345,9,4,77,Aggressive
59,774657,1944705,20,3,54,Moderate
58,2695696,2523985,0,13,50,Moderate
37,2860581,2503947,2,1,58,Moderate
40,1983267,2351606,12,7,55,Moderate
65,987192,3921811,5,8,36,Moderate
42,1689917,2029699,5,14,54,Moderate
62,1919935,1739008,17,2,55,Moderate
59,808568,3789888,12,26,65,Moderate
45,1761115,3709919,13,10,75,Aggressive
42,966558,195437,11,21,61,Moderate
64,1095607,3339366,19,22,64,Moderate
57,1753343,467548,10,6,40,Moderate
23,1690323,3681573,7,10,74,Aggressive
18,785436,2703593,3,27,64,Moderate
26,2238314,1382474,10,22,68,Moderate
32,2234556,2119800,14,7,75,Aggressive
59,801608,634196,1,14,29,Conservative
38,1599190,233369,15,8,47,Moderate
63,1287823,2403534,4,3,44,Moderate
54,1685719,4938276,13,4,63,Moderate
53,2155035,318016,18,26,68,Moderate
54,2027910,872640,12,21,69,Moderate
51,2614311,3896388,6,28,62,Moderate
33,524511,2040844,6,4,51,Moderate
64,1208385,4405670,11,14,58,Moderate
23,1273844,316136,8,24,66,Moderate
21,736208,2850451,14,21,80,Aggressive
45,2577299,2154277,0,16,59,Moderate
26,550886,421447,3,15,42,Moderate
46,800955,710142,18,23,66,Moderate
64,454128,893974,11,21,54,Moderate
44,2312111,4028361,15,2,63,Moderate
44,1344914,3642559,2,6,43,Moderate
58,326048,3599501,11,19,47,Moderate
41,1658466,727368,16,17,63,Moderate
44,2810009,3301512,20,10,83,Aggressive
36,928923,4408771,6,10,63,Moderate
42,587947,571419,20,2,41,Moderate
50,2756216,1154997,14,5,63,Moderate
34,499663,216549,4,16,38,Moderate
54,2984854,2329239,15,20,72,Aggressive
55,1808275,2372405,19,8,56,Moderate
27,1234279,1304723,0,25,67,Moderate
18,442540,1356576,15,17,60,Moderate
33,1201278,2236551,4,23,72,Aggressive
58,720162,518661,9,29,49,Moderate
51,2845582,2646181,17,22,77,Aggressive
65,2005989,1377956,10,29,56,Moderate
31,328227,4018024,3,16,61,Moderate
45,2454921,825827,3,9,52,Moderate
65,2140358,1786610,3,20,56,Moderate
60,2462968,1020098,18,26,67,Moderate
40,467491,3210671,15,15,66,Moderate
31,2043294,2926298,6,17,88,Aggressive
41,1773749,1203671,10,22,61,Moderate
42,2194978,2328624,15,30,88,Aggressive
22,875950,3396995,18,24,90,Aggressive
63,2029607,1684670,12,30,70,Aggressive
42,1690325,4478572,10,17,71,Aggressive
38,1298174,3333332,5,7,58,Moderate
30,1049923,1161177,0,3,43,Moderate
43,1403487,2421262,16,7,71,Aggressive
36,2733999,4251768,10,11,78,Aggressive
42,2830408,2651209,3,8,59,Moderate
34,827211,4354817,10,25,82,Aggressive
26,507455,2551992,16,13,70,Aggressive
25,1290235,700078,1,21,60,Moderate
30,2846981,2378422,8,19,83,Aggressive
24,1733177,2617763,1,13,61,Moderate
51,1741387,1406450,13,19,65,Moderate
64,1168079,2396350,6,14,52,Moderate
59,2381273,3130595,3,28,57,Moderate
39,1540197,3652673,18,13,70,Aggressive
34,1282436,1900362,3,28,78,Aggressive
40,2460214,3386370,3,8,53,Moderate
37,763164,4400913,4,10,52,Moderate
62,1132507,28937,11,26,39,Moderate
38,1580314,3314110,11,15,76,Aggressive
57,2261746,1236686,6,15,56,Moderate
49,1280016,1935336,16,24,62,Moderate
58,1003860,2613198,2,29,54,Moderate
33,494262,337042,8,17,41,Moderate
26,452989,715041,18,8,63,Moderate
33,2849371,4111922,17,16,87,Aggressive
45,1017228,4307523,9,8,54,Moderate
41,910863,2671704,18,20,88,Aggressive
27,2593907,3323319,0,12,71,Aggressive
19,2285027,3298381,6,9,68,Moderate
51,1672431,3018701,7,2,58,Moderate
48,264830,2770606,19,23,57,Moderate
46,1531502,332746,2,16,51,Moderate
50,806444,3609900,20,12,72,Aggressive
38,1131284,4142557,6,25,72,Aggressive
61,1255930,3972808,7,10,47,Moderate
43,2371119,2973981,11,22,89,Aggressive
37,985196,3865100,15,26,66,Moderate
51,1156967,286262,3,19,33,Conservative
55,2719504,690013,10,23,69,Moderate
51,756059,2520185,17,15,69,Moderate
37,1621803,3208494,19,15,88,Aggressive
53,2948696,4957434,15,15,70,Aggressive
30,1665430,3879738,19,25,97,Aggressive
63,2847690,3310128,17,17,78,Aggressive
53,735639,577691,4,18,48,Moderate
48,2803793,855134,2,10,40,Moderate
25,465887,3290253,2,24,58,Moderate
23,1751793,3587110,7,18,81,Aggressive
33,1631365,1555516,14,15,68,Moderate
55,294771,2705777,12,16,57,Moderate
35,579056,2578388,19,16,70,Aggressive
44,2808359,3265354,4,18,67,Moderate
55,964829,3182497,15,14,69,Moderate
23,2254161,4304927,3,12,71,Aggressive
18,629944,1108785,5,10,57,Moderate
36,1300978,1942946,13,29,71,Aggressive
50,210151,814459,6,8,32,Conservative
63,1967210,2561934,9,8,43,Moderate
62,2453621,1718783,8,17,52,Moderate
46,1351879,3017294,13,7,65,Moderate
35,1661185,3529056,15,2,77,Aggressive
29,1290361,153703,5,29,60,Moderate
45,1729131,4268914,7,29,63,Moderate
24,2514052,2222117,17,30,98,Aggressive
53,598351,3817632,7,21,63,Moderate
59,621403,4743799,2,18,35,Moderate
64,2682459,1960323,2,11,40,Moderate
44,1807990,2927948,4,1,40,Moderate
45,864437,4446059,11,16,64,Moderate
51,1578492,2888624,8,13,56,Moderate
30,1991849,4710741,20,13,90,Aggressive
24,2856897,69983,1,29,53,Moderate
60,2069531,2665440,11,14,68,Moderate
56,2436839,4191755,17,28,81,Aggressive
34,1446843,1026614,11,13,72,Aggressive
32,2713216,1049031,0,9,49,Moderate
38,1131405,1774275,13,14,59,Moderate
21,2792350,953563,6,23,79,Aggressive
29,1769509,2196106,10,4,55,Moderate
62,768483,4388055,18,7,53,Moderate
56,2122684,4590919,14,12,71,Aggressive
52,2027064,2619853,9,26,70,Aggressive
40,2390583,4430373,20,9,78,Aggressive
40,880077,3209260,7,30,77,Aggressive
61,588952,1676085,8,19,56,Moderate
53,2150525,2045033,2,18,51,Moderate
33,1661643,3327927,9,7,58,Moderate
21,923543,1907517,9,3,67,Moderate
22,2387186,4978207,16,28,98,Aggressive
30,1396213,2031029,9,4,59,Moderate
63,1467027,4961720,14,9,48,Moderate
47,1038022,4135294,15,1,50,Moderate
48,2170754,2324379,17,25,73,Aggressive
44,473288,4146777,19,16,79,Aggressive
54,1039806,766437,10,12,49,Moderate
64,2949873,2945406,13,6,57,Moderate
27,2451258,1703135,15,17,77,Aggressive
49,949983,1485718,17,4,39,Moderate
27,492936,1576455,13,12,58,Moderate
63,2404958,956689,14,28,65,Moderate
20,707078,1941429,4,24,77,Aggressive
52,401975,953706,18,13,59,Moderate
25,1137315,1294247,17,30,76,Aggressive
21,1818999,4495352,19,9,77,Aggressive
43,2234338,2744992,7,6,70,Aggressive
57,2641834,667617,14,29,53,Moderate
50,1789629,919077,13,28,69,Moderate
62,724380,2145744,4,27,44,Moderate
56,2923223,1342000,16,25,59,Moderate
34,1600527,4612280,16,12,81,Aggressive
40,1626299,1969636,14,22,69,Moderate
43,1653681,2355432,1,27,62,Moderate
34,2358928,3084071,10,25,76,Aggressive
22,2447261,4652711,14,15,96,Aggressive
40,2533936,3732865,12,20,76,Aggressive
40,475835,1228914,19,27,68,Moderate
61,1479775,1817275,13,1,47,Moderate
36,1312338,495326,15,30,57,Moderate
25,1501539,1157206,20,29,86,Aggressive
64,771249,1543698,6,18,56,Moderate
61,1893935,4709631,7,12,64,Moderate
65,1220708,4703912,1,5,34,Conservative
36,1241382,4378061,7,18,70,Aggressive
41,2849160,2406720,16,4,74,Aggressive
64,702010,235437,7,13,36,Moderate
21,1321824,2251527,20,23,94,Aggressive
46,690821,3431400,4,30,49,Moderate
20,1476830,792409,15,14,76,Aggressive
54,2195436,4044366,7,1,54,Moderate
43,1340778,1609206,9,9,62,Moderate
40,1546051,772816,7,18,56,Moderate
47,2892988,533968,19,16,58,Moderate
38,282033,2580142,16,8,57,Moderate
21,1018020,4925407,16,15,71,Aggressive
61,791245,3634036,1,1,35,Moderate
41,1057474,122035,2,3,35,Moderate
20,2110430,4861282,6,1,73,Aggressive
21,1961384,3419599,6,21,85,Aggressive
45,675145,4811449,7,10,49,Moderate
54,1954307,4369870,14,19,80,Aggressive
63,1662305,721926,0,1,24,Conservative
36,2061728,3378419,14,19,91,Aggressive
49,1369346,249472,17,18,57,Moderate
48,1454335,3845926,5,3,47,Moderate
22,1696324,1370096,8,4,49,Moderate
21,996892,360604,17,12,63,Moderate
30,854457,868873,12,5,43,Moderate
32,1177093,1543564,11,1,61,Moderate
31,2933777,1297548,10,27,72,Aggressive
40,1504538,2067456,6,20,69,Moderate
29,2917634,2689415,5,5,74,Aggressive
20,2346827,2617089,3,8,67,Moderate
51,2135729,4146264,5,23,64,Moderate
21,1190079,3861375,6,8,71,Aggressive
52,2052851,1344427,9,17,55,Moderate
44,1402737,2690149,0,30,67,Moderate
27,2946779,3786699,0,1,51,Moderate
30,430818,1035241,2,12,38,Moderate
30,2798537,4836588,11,14,75,Aggressive
42,432770,3809082,13,5,48,Moderate
26,1612457,3791158,8,9,65,Moderate
25,1030485,1194919,17,22,87,Aggressive
40,2597161,4628051,6,1,62,Moderate
35,2417686,2530796,14,26,99,Aggressive
53,2607709,3335110,20,26,90,Aggressive
21,1956431,1867223,6,18,75,Aggressive
65,258509,1356759,5,12,21,Conservative
47,655409,1074037,5,23,45,Moderate
40,2979329,4167165,15,20,90,Aggressive
30,2793300,2510363,20,2,84,Aggressive
25,903625,2232201,11,19,70,Aggressive
27,375744,433571,5,4,29,Conservative
47,1403690,3271888,0,2,48,Moderate
64,2661078,4807072,4,10,44,Moderate
45,2362483,346537,1,18,54,Moderate
46,1068818,1703354,11,7,56,Moderate
64,623011,602191,2,23,23,Conservative
59,2406059,4537860,9,7,53,Moderate
40,1374850,587156,18,22,78,Aggressive
57,1844977,4971661,5,3,41,Moderate
37,2247615,271251,15,8,53,Moderate
31,2031890,3581048,3,14,65,Moderate
38,1399961,3920664,12,12,68,Moderate
65,1031449,332851,4,22,40,Moderate
58,2944407,3952887,3,2,44,Moderate
47,432082,1720075,17,9,58,Moderate
36,2783984,2553514,8,24,75,Aggressive
28,1000515,2457338,9,28,63,Moderate
24,1189678,2587973,13,18,90,Aggressive
28,1905363,4700357,13,11,73,Aggressive
59,1372502,2720864,7,16,57,Moderate
48,383069,1241626,0,8,33,Conservative
52,1880093,4313700,19,19,77,Aggressive
45,2482961,4934297,12,26,80,Aggressive
21,1529167,947502,3,18,72,Aggressive
37,271369,2656942,19,15,73,Aggressive
60,1327479,1119127,14,26,58,Moderate
64,1400711,1480348,6,10,40,Moderate
46,1271330,2815095,12,5,62,Moderate
56,2496904,940654,1,16,41,Moderate
61,888345,2504617,9,16,54,Moderate
65,1666745,3350190,18,21,76,Aggressive
19,2534706,2335146,16,27,82,Aggressive
60,586980,4609627,10,24,53,Moderate
46,2575594,2331826,1,2,41,Moderate
55,2738202,2690438,15,28,84,Aggressive
62,399287,4130568,18,14,49,Moderate
19,2146689,431815,1,18,60,Moderate
26,1030645,1329571,2,26,53,Moderate
48,1255294,1863770,11,10,61,Moderate
62,2213670,2288561,18,21,80,Aggressive
53,419166,1661920,16,28,53,Moderate
24,1770367,3834320,3,2,55,Moderate
36,2403313,4440445,6,13,67,Moderate
53,2634860,106666,3,30,38,Moderate
34,2481272,771323,4,28,77,Aggressive
21,1908594,145527,1,16,44,Moderate
52,2533561,1144408,19,27,81,Aggressive
58,2537245,3040980,20,9,70,Aggressive
65,1831088,1159288,3,22,53,Moderate
19,975673,1075638,18,7,73,Aggressive
20,1764468,2723991,18,3,77,Aggressive
27,2377619,1780183,20,4,65,Moderate
26,2503684,678991,2,17,49,Moderate
57,863292,4018196,18,27,68,Moderate
47,292686,445118,16,17,35,Moderate
54,601065,3429381,18,21,61,Moderate
41,855398,2176874,12,11,48,Moderate
51,1932142,1039331,13,17,50,Moderate
38,2499973,1170572,7,26,64,Moderate
58,871663,3633476,14,17,52,Moderate
23,2815373,1269211,6,30,86,Aggressive
55,695191,994073,12,27,44,Moderate
20,231306,1691628,6,13,59,Moderate
60,2099424,3849520,9,4,49,Moderate
51,983362,3710754,5,20,65,Moderate
48,1757955,1461376,20,11,63,Moderate
60,2097062,1776566,9,7,61,Moderate
35,1504471,2565913,0,4,49,Moderate
48,2428989,1152005,9,26,65,Moderate
40,1098548,4589342,12,12,73,Aggressive
58,1124107,937360,4,7,33,Conservative
19,1052968,2166008,7,26,73,Aggressive
27,1997108,75916,16,18,74,Aggressive
27,233408,2029229,19,16,72,Aggressive
22,848819,175250,4,10,45,Moderate
18,1030721,2347032,20,28,92,Aggressive
44,1949968,1794448,12,15,76,Aggressive
19,2733938,104633,7,18,56,Moderate
36,1129433,556862,6,28,57,Moderate
63,1618725,3138490,1,1,45,Moderate
30,1158017,1999303,1,27,59,Moderate
25,1430180,2568687,1,7,72,Aggressive
23,498742,4508228,9,25,83,Aggressive
25,1081938,4782568,8,12,69,Moderate
32,2216100,1222152,9,6,62,Moderate
37,981421,4282564,9,18,61,Moderate
63,1580826,83945,19,3,35,Moderate
58,2711748,2438980,9,30,60,Moderate
36,2637556,2090131,15,11,62,Moderate
49,780520,1504303,19,14,73,Aggressive
22,1813143,630667,20,17,84,Aggressive
50,687273,4190010,18,20,66,Moderate
49,1964525,3952611,6,3,59,Moderate
24,2132190,1831717,10,7,74,Aggressive
22,386249,4145047,16,11,59,Moderate
32,344249,1901971,20,18,67,Moderate
56,902616,3525038,15,9,53,Moderate
38,607728,18599,19,12,40,Moderate
48,1624476,1036661,3,22,59,Moderate
19,2016584,4831991,15,9,76,Aggressive
48,2691200,1163812,13,23,62,Moderate
43,1805347,2834801,12,4,59,Moderate
25,2694407,598455,12,9,63,Moderate
32,1346267,1200595,9,9,67,Moderate
36,290457,2078822,2,26,43,Moderate
32,1178542,368611,19,8,67,Moderate
50,322601,2073115,19,15,45,Moderate
20,844896,1777000,11,24,73,Aggressive
55,2572380,3331450,17,10,81,Aggressive
55,2547783,80695,2,13,37,Moderate
46,821493,4753403,15,7,53,Moderate
56,2116068,1489122,17,11,65,Moderate
29,1026141,4198000,19,13,76,Aggressive
35,666216,654845,5,19,48,Moderate
30,1180824,4277022,6,17,65,Moderate
25,1100270,2124488,2,20,72,Aggressive
53,2550093,2968743,2,15,71,Aggressive
25,1183538,412116,16,14,72,Aggressive
41,1450350,1334425,2,15,50,Moderate
59,2595567,211253,9,24,54,Moderate
57,259101,1379316,11,27,34,Conservative
35,2113187,1746342,17,16,73,Aggressive
30,2465290,2371385,15,6,72,Aggressive
44,1265305,4271386,5,30,72,Aggressive
60,1263839,3054589,18,24,75,Aggressive
62,2043270,4654055,9,8,60,Moderate
30,502751,2421079,11,22,72,Aggressive
32,2981092,2360687,2,23,72,Aggressive
35,640683,683617,8,11,36,Moderate
23,207872,1504389,10,22,70,Aggressive
44,839854,3040099,8,17,69,Moderate
54,1096488,2333175,11,25,66,Moderate
47,2214083,4948196,6,5,52,Moderate
45,2255118,1406108,19,1,65,Moderate
57,597893,2810363,17,24,54,Moderate
63,246732,620785,15,19,49,Moderate
52,956119,195771,18,5,42,Moderate
39,2746806,270337,16,24,63,Moderate
28,391462,45187,3,11,34,Conservative
46,2244023,2143934,10,28,80,Aggressive
54,2403670,2429024,10,3,62,Moderate
55,2061948,2689280,10,4,56,Moderate
40,2274562,840563,4,28,66,Moderate
64,2302048,4260521,2,27,56,Moderate
49,1337662,2101212,2,20,56,Moderate
51,2247209,1032970,6,19,69,Moderate
24,1482302,3660186,4,18,86,Aggressive
55,314264,4949511,13,11,53,Moderate
27,1556069,801753,5,20,71,Aggressive
23,610266,4449085,16,19,77,Aggressive
35,2413202,4853094,9,3,65,Moderate
40,2380857,2847232,4,14,62,Moderate
25,414269,4093565,13,3,62,Moderate
36,2066451,461636,7,4,36,Moderate
29,1072533,4351319,10,2,61,Moderate
30,2781979,493833,3,11,62,Moderate
18,2471392,4345725,12,7,72,Aggressive
21,581184,1111423,17,24,66,Moderate
52,337985,1974660,2,25,43,Moderate
31,1956396,1040798,0,10,45,Moderate
33,438900,4425120,15,8,56,Moderate
26,2426793,3029590,8,14,82,Aggressive
57,276085,3642580,10,25,42,Moderate
25,2474504,718239,20,6,84,Aggressive
44,728919,3018013,20,26,74,Aggressive
55,2817684,1818996,18,11,74,Aggressive
46,1109511,3175197,7,24,52,Moderate
50,1092820,3084227,3,2,49,Moderate
25,233564,2256665,17,3,49,Moderate
21,1080509,3659994,10,22,89,Aggressive
25,213840,2994578,1,29,57,Moderate
46,1720130,884505,17,24,64,Moderate
35,1758664,3021223,7,17,81,Aggressive
63,1589387,3265658,15,26,80,Aggressive
18,738822,230140,10,27,71,Aggressive
18,2734375,807348,12,20,73,Aggressive
62,2079556,2464655,8,26,71,Aggressive
18,2234245,3813135,8,14,75,Aggressive
57,1168612,634645,16,2,30,Conservative
23,807168,3907004,17,6,70,Aggressive
18,2838593,3793742,3,11,76,Aggressive
24,1484926,2285760,4,30,77,Aggressive
34,2314789,4346634,17,28,97,Aggressive
34,2953314,1493448,16,23,89,Aggressive
31,2955447,4556871,3,21,70,Aggressive
49,869517,3766179,15,21,76,Aggressive
28,2595714,4476221,14,26,85,Aggressive
53,2333578,3451694,11,30,70,Aggressive
18,2023350,3296674,8,19,85,Aggressive
20,2463063,392433,15,21,88,Aggressive
29,569913,3017137,13,20,78,Aggressive
34,2569659,2781058,9,17,85,Aggressive
30,1650040,3989194,14,29,90,Aggressive
42,1822186,1702734,12,11,73,Aggressive
27,1487279,3902938,6,12,73,Aggressive
42,254224,1338413,3,2,16,Conservative
39,1152865,2712018,19,22,85,Aggressive
58,2271465,2153813,17,15,77,Aggressive
18,2880017,3444341,18,8,76,Aggressive
30,1317024,2969527,7,27,86,Aggressive
56,533037,721393,3,11,31,Conservative
62,2344213,3645467,13,30,71,Aggressive
33,1053864,1982142,15,30,73,Aggressive
43,1788397,3101724,20,17,86,Aggressive
32,1501366,3923591,7,14,77,Aggressive
48,987740,4731154,19,26,74,Aggressive
40,1272335,2909860,13,27,72,Aggressive
33,2156565,3538725,0,28,74,Aggressive
23,1056379,2571848,11,28,75,Aggressive
24,2810696,4835571,3,23,81,Aggressive
61,1780637,633238,4,7,31,Conservative
55,2375467,2853191,16,23,75,Aggressive
42,2780515,4704059,15,22,92,Aggressive
32,1040256,4085434,16,27,74,Aggressive
25,805924,1675973,11,27,72,Aggressive
18,2980039,2300017,11,28,96,Aggressive
39,1471171,3255283,13,21,80,Aggressive
45,2570924,4971968,15,8,75,Aggressive
31,2427153,2508480,0,20,79,Aggressive
47,977106,2881256,18,16,79,Aggressive
55,484733,3864351,14,24,71,Aggressive
54,1388068,4597418,20,22,74,Aggressive
45,2189686,1516800,3,29,75,Aggressive
26,1866129,3676324,20,5,81,Aggressive
43,2236250,2473233,20,13,70,Aggressive
64,825443,412966,13,5,24,Conservative
25,1391095,2698123,6,21,73,Aggressive
57,2153816,3235279,20,20,80,Aggressive
44,2186859,3822355,17,13,90,Aggressive
21,661638,4125200,16,16,87,Aggressive
53,1645331,75645,6,6,25,Conservative
55,2437369,2495609,9,27,70,Aggressive
30,2012241,2548551,19,20,99,Aggressive
24,948377,3230385,8,17,71,Aggressive
61,677105,955392,8,5,28,Conservative
39,300722,965769,11,8,32,Conservative
51,2781392,4561653,14,24,72,Aggressive
50,703023,3760423,16,12,73,Aggressive
25,345219,2798994,9,17,76,Aggressive
53,1414497,4290990,18,17,79,Aggressive
28,1567980,2258049,8,24,74,Aggressive
22,828066,4488720,14,6,70,Aggressive
31,2087274,2430167,14,16,77,Aggressive
37,2057730,2568992,1,20,74,Aggressive
28,1589280,2709639,13,9,76,Aggressive
25,1651455,4577671,2,25,75,Aggressive
31,1789949,3981121,9,25,78,Aggressive
29,2438623,2786058,15,29,100,Aggressive
18,1216205,3936377,16,16,83,Aggressive
20,1528649,2494646,18,9,72,Aggressive
21,509212,4743172,17,19,79,Aggressive
25,2850966,1428110,8,26,72,Aggressive
56,332452,4676924,10,2,33,Conservative
56,936261,3043635,20,21,76,Aggressive
22,2244514,3977051,11,9,75,Aggressive
39,2518584,4721512,16,10,76,Aggressive
46,1338640,4076849,12,27,73,Aggressive
43,1188581,2811677,20,6,74,Aggressive
50,2021535,4339523,14,15,71,Aggressive
50,2638112,3195050,19,15,75,Aggressive
57,2205742,2948029,12,27,70,Aggressive
30,2530391,3992686,16,20,99,Aggressive
37,2632653,4882970,1,19,73,Aggressive
27,2735080,3237918,20,12,97,Aggressive
29,1960921,2561572,13,28,89,Aggressive
38,1319587,363629,7,5,34,Conservative
29,1518851,4464514,14,14,83,Aggressive
21,2498567,4580316,17,3,74,Aggressive
60,2225770,1367301,1,1,34,Conservative
30,1339442,4391461,8,18,80,Aggressive
33,2195467,4620659,12,13,76,Aggressive
48,262067,4028776,2,1,24,Conservative
21,1276383,1346919,9,29,79,Aggressive
54,2293668,2297520,10,28,71,Aggressive
30,2966396,3102618,8,24,77,Aggressive
24,2852082,1136198,20,2,81,Aggressive
29,1261823,2872787,12,24,77,Aggressive
40,2350572,2287663,16,13,75,Aggressive
22,1990515,349034,13,11,73,Aggressive
30,1219143,935177,12,12,74,Aggressive
59,2382696,1064851,0,7,30,Conservative
64,2146507,4886536,20,13,81,Aggressive
22,2627111,1585077,15,14,92,Aggressive
63,622635,624684,18,7,27,Conservative
41,2451245,4289384,7,26,78,Aggressive
30,2159576,3015089,8,25,87,Aggressive
30,1682931,3694926,14,30,91,Aggressive
28,524039,4999035,11,16,73,Aggressive
23,570666,4823634,19,20,74,Aggressive
36,1501194,4746366,12,15,76,Aggressive
28,2406644,4659809,5,26,83,Aggressive
37,1389602,3215525,20,23,81,Aggressive
22,1382254,3858528,1,17,78,Aggressive
43,1562114,1513993,18,21,87,Aggressive
21,2782409,3998255,13,11,77,Aggressive
46,2822997,2794152,17,12,71,Aggressive
18,2251771,3968215,2,20,73,Aggressive
23,1190875,2407948,7,21,78,Aggressive
41,411166,4303213,8,21,71,Aggressive
54,1473962,1738347,13,15,71,Aggressive
34,1837603,1683217,19,30,87,Aggressive
50,248132,4584151,6,2,28,Conservative
39,676114,2950025,6,22,71,Aggressive
21,1912354,2334371,20,19,98,Aggressive
52,1438341,3321940,13,25,70,Aggressive
65,2474870,65111,12,1,26,Conservative
44,1423381,2847326,19,20,82,Aggressive
42,2963573,1629464,15,26,83,Aggressive
25,2411154,444235,19,10,83,Aggressive
20,1294133,3939061,5,22,85,Aggressive
28,846109,3346568,17,12,70,Aggressive
36,1860409,132257,0,7,26,Conservative
38,2563531,4793794,15,13,77,Aggressive
51,2038948,3649063,16,13,75,Aggressive
